epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,4273.56,1.07563,1.13828,1.3213,0.84359,0.82062,0.90039,0.69912,0.81918,0.62667,1.12116,0.000298679,0.000298679,0.000298679
103,4706.26,1.07116,1.1148,1.32538,0.84489,0.82633,0.90148,0.6975,0.83445,0.6317,1.12933,0.00029401,0.00029401,0.00029401
104,5130.84,1.05776,1.12606,1.30908,0.84862,0.80008,0.8928,0.67106,0.9164,0.6632,1.18614,0.000289343,0.000289343,0.000289343
105,5552.54,1.05656,1.13702,1.30761,0.86159,0.84549,0.91836,0.71698,0.81298,0.58579,1.11428,0.00028468,0.00028468,0.00028468
106,5977.47,1.0567,1.11376,1.30776,0.8458,0.83657,0.90941,0.70755,0.83091,0.60461,1.12529,0.000280021,0.000280021,0.000280021
107,6400.72,1.05634,1.10221,1.30822,0.86286,0.83692,0.91393,0.71979,0.79563,0.58447,1.10622,0.000275367,0.000275367,0.000275367
108,6827.52,1.03827,1.09151,1.29866,0.87582,0.85383,0.92868,0.73672,0.78658,0.54454,1.09735,0.000270721,0.000270721,0.000270721
109,7255.96,1.02096,1.07533,1.28559,0.85316,0.85383,0.92033,0.71172,0.85973,0.58128,1.14329,0.000266083,0.000266083,0.000266083
110,7688.5,1.03778,1.08757,1.30481,0.8726,0.84547,0.92261,0.72166,0.83219,0.57414,1.12298,0.000261454,0.000261454,0.000261454
111,8120.25,1.03434,1.06792,1.29163,0.87501,0.86014,0.93118,0.73844,0.78696,0.54443,1.09516,0.000256835,0.000256835,0.000256835
112,8547.42,0.995,1.02806,1.26757,0.87285,0.85573,0.92858,0.73209,0.79724,0.54933,1.10407,0.000252228,0.000252228,0.000252228
113,8974.38,1.01141,1.05664,1.2818,0.87747,0.85561,0.93012,0.73285,0.80615,0.5536,1.1062,0.000247633,0.000247633,0.000247633
114,9404.5,1.00209,1.03763,1.27433,0.8796,0.86966,0.93473,0.73896,0.80736,0.52916,1.10534,0.000243052,0.000243052,0.000243052
115,9832.81,1.00928,1.04368,1.27953,0.88463,0.86067,0.93621,0.73977,0.79683,0.52795,1.09797,0.000238487,0.000238487,0.000238487
116,10258.4,1.01271,1.04484,1.27467,0.87447,0.86514,0.93257,0.72799,0.85077,0.53619,1.13489,0.000233937,0.000233937,0.000233937
117,10681.1,0.99066,1.00273,1.26657,0.89066,0.87364,0.94238,0.75626,0.75946,0.50182,1.07732,0.000229404,0.000229404,0.000229404
118,11101.2,0.98403,0.98898,1.25199,0.89051,0.87347,0.94243,0.74719,0.81017,0.50975,1.10743,0.000224889,0.000224889,0.000224889
119,11525.3,0.98813,1.00073,1.26376,0.87951,0.88263,0.94166,0.7463,0.79673,0.51462,1.09922,0.000220394,0.000220394,0.000220394
120,11950.5,0.997,1.00483,1.26854,0.88823,0.87595,0.94179,0.75238,0.7971,0.51065,1.09735,0.000215919,0.000215919,0.000215919
121,12381.2,0.95445,0.95612,1.23963,0.89014,0.88247,0.94604,0.75328,0.78884,0.49546,1.08968,0.000211466,0.000211466,0.000211466
122,12807.3,0.96987,0.98374,1.24752,0.89334,0.89073,0.94839,0.75652,0.77941,0.48353,1.08595,0.000207035,0.000207035,0.000207035
123,13233.4,0.9883,1.00973,1.2595,0.89862,0.88944,0.95167,0.76078,0.78842,0.47749,1.08629,0.000202629,0.000202629,0.000202629
124,13650.4,0.95668,0.93738,1.24208,0.9134,0.88517,0.9546,0.7736,0.7533,0.45952,1.06552,0.000198247,0.000198247,0.000198247
125,14074.9,0.96146,0.99042,1.23902,0.89878,0.88561,0.95095,0.76334,0.77167,0.47585,1.08195,0.000193891,0.000193891,0.000193891
126,14495.1,0.95788,0.95758,1.23947,0.89256,0.88309,0.94758,0.74846,0.8223,0.499,1.11036,0.000189562,0.000189562,0.000189562
